venue_id,name,address,city,country,capacity,latitude,longitude
3534,Arbour Park,Stoke Road,"Slough, Buckinghamshire",England,2205,,
3535,Edgeley Park,"Hardcastle Road, Edgeley","Stockport, Greater Manchester",England,10852,53.3996432,-2.1664844
21315,The Optima Stadium,Winterstoke Road,"Weston-super-Mare, Somerset",England,3000,,
3537,New Bucks Head Ground,"Watling Street, Wellington","Telford, Shropshire",England,6300,,
11942,Melbourne Stadium,Salerno Way,"Chelmsford, Essex",England,3500,,
3539,Princes Park,"Darenth Road, Grassbanks","Dartford, Kent",England,4100,,
21316,Kal Group Stadium,North Street,"Gainsborough, Lincolnshire",England,4304,53.4033299,-0.7744664
3541,Edgar Street Athletic Ground,Edgar Street,"Hereford, Herefordshire",England,8843,,
21964,First Call Community Stadium,"Scraley Road, Heybridge","Maldon, Essex",England,3000,,
21317,Project Solar UK Stadium,Grange Road,"Hyde, Cheshire",England,4100,,
3544,Aggborough Stadium,Hoo Road,"Kidderminster, Worcestershire",England,6453,52.3804787,-2.2427359
3545,Fetcham Grove,Guildford Road,"Leatherhead, Surrey",England,3400,,
12605,Optimum Pay Stadium,Water Lode,"Nantwich, Cheshire",England,3500,,
3547,Sheerien Park,"Ollerton Road, Athersley North","Barnsley, South Yorkshire",England,2000,,
21318,Truro Sports Hub,"Langarth Close, Threemilestone","Truro, Cornwall",England,3000,,
3549,The J. Davidson Stadium,Moss Lane,"Altrincham, Cheshire",England,6085,,
11943,St. James Park,Churchill Way,"Brackley, Northamptonshire",England,3500,52.0244301,-1.1441646
3551,The Meadow,Amy Lane,"Chesham, Buckinghamshire",England,5000,51.6998719,-0.6129301
3552,Tameside Stadium,Richmond Street,"Ashton-under-Lyne, Lancashire",England,4000,,
21319,ReachTV Stadium,"Priory Lane, Langney","Eastbourne, East Sussex",England,5644,,
3554,Earlsmead Stadium,Carlyon Avenue,"South Harrow, Middlesex",England,3070,,
3555,Moatside Stadium,Weldon Way,"Merstham, Surrey",England,2000,,
3556,The Brewery Field,Wood Vue,"Spennymoor, County Durham",England,6000,,
3557,Clarence Park,York Road,"St. Albans, Hertfordshire",England,4500,,
3558,The Zeeco Stadium,Ryhall Road,"Stamford, Lincolnshire",England,2000,,
3559,War Memorial Athletic Ground,"High Street, Amblecote","Stourbridge, West Midlands",England,3550,,
3560,Cygnet Health Care Stadium,Wordsworth Drive,"Taunton, Somerset",England,3001,,
11676,Allpay Park,Widemarsh Common,"Hereford, Herefordshire",England,2000,,
3561,The Enclosed Ground,East Brighton Park / Off Wilsons Avenue,"Brighton, East Sussex",England,2000,,
10726,Leigh Sports Village Stadium,Sale Way,"Leigh, Greater Manchester",England,11000,,
22758,BetWright Stadium,"Brisbane Road, Leyton",London,England,9271,51.5600713,-0.0125999
4940,Shielfield Park,"Etal Road, Tweedmouth","Berwick-upon-Tweed, Northumberland",England,4476,,
5201,Colney Training Centre,Hethersett Lane,"Colney, Norfolk",England,1000,,
5202,Bodymoor Heath Training Ground,"Bond Street, Nr. Tamworth","Bodymoor Heath, Warwickshire",England,1000,,
21181,American Express Elite Football Performance Centre,"New Monks Farm, Gravelly Crescent","Lancing, West Sussex",England,1000,,
5205,Motspur Park,Motspur Park,"New Malden, Surrey",England,2000,,
22342,LCFC Training Ground,Park Hill Lane,"Sileby, Leicestershire",England,500,,
5206,Liverpool’s Academy Ground,"The Liverpool Way, Kirkby","Knowsley, Merseyside",England,1000,,
3543,Ewen Fields,Grange Road,"Hyde, Cheshire",England,4100,,
21220,Avant Training Centre,Hethersett Lane,"Colney, Norfolk",England,1000,,
5208,Staplewood Training Ground,"Long Lane, Marchwood","Southampton, Hampshire",England,3000,,
21182,Lamex Stadium,Broadhall Way,"Stevenage, Hertfordshire",England,7100,51.8896479,-0.1937405
21183,The Rush Green Stadium,Rush Green Road,"Romford, Greater London",England,4500,,
10612,MEL Group Stadium,Brundon Lane,"Sudbury, Suffolk",England,2500,,
5210,The Homelands,"Ashford Road, Kingsnorth","Ashford, Kent",England,3535,,
5211,Parkside Stadium,Park Lane,"Aveley, Essex",England,3000,,
5212,Mayesbrook Park,Lodge Avenue,"Dagenham, Essex",England,2500,,
5213,Mill Road,Mill Road,"Barnstaple, Devon",England,5000,,
19793,The Ho Ho Stadium,Gardiners Close,"Basildon, Essex",England,4000,,
5215,Bedfont Sports Recreation Ground,Hatton Road,"Bedfont, Greater London",England,3000,,
5216,The Oval,Coventry Road,"Bedworth, Warwickshire",England,3000,,
5217,Broadwater,Broadwater,"Berkhamsted, Hertfordshire",England,2500,51.7623466,-0.5640269
5218,The Sports Ground,Kingsley Road,"Bideford, Devon",England,2000,51.0232276,-4.2088480
5219,The Brentwood Centre Arena,Doddinghurst Road,"Brentwood, Essex",England,1500,,
20344,Home Call Carpets Community Stadium,Maple Drive,"Burgess Hill, West Sussex",England,2000,,
21965,FWD-IP Community Stadium,West Way,"Sawston, Cambridgeshire",England,1459,,
5222,High Road,High Road,"Chipstead, Surrey",England,2000,,
5223,The Causeway,"Edge Hills Road, Hilldene","Cinderford, Gloucestershire",England,3500,,
5224,Steel Park,Rockingham Road,"Corby, Northamptonshire",England,3893,,
21320,Christchurch Homes Loop Meadow,Bowmont Water,"Didcot, Oxfordshire",England,3000,,
5226,Butcher's Arms Ground,"Market Street, Tameside","Droylsden, Greater Manchester",England,3000,,
21966,The Vistavis Community Stadium,College Lane,"East Grinstead, West Sussex",England,3000,,
5228,The Stadium Cheshunt,Theobalds Lane,"Cheshunt, Hertfordshire",England,3000,,
5229,AlderSmith Stadium,"Badgers Hill, Berkley Road","Frome, Somerset",England,5000,,
20129,The Asgard Engineering Stadium,Surrey Street,"Glossop, Derbyshire",England,2374,,
5231,Burroughs Park,Burroughs Park,"Great Wakering, Essex",England,3500,,
5232,Footes Lane Stadium,Footes Lane,"St. Peter Port (Guernsey, Channel Islands)",England,5000,,
5233,The Pilot Field,Elphinstone Road,"Hastings, Sussex",England,4050,50.8745219,0.5870566
10613,Winch's Field,Stanley Gardens,"Herne Bay, Kent",England,4000,51.3646747,1.1299491
5235,Save On Tyres Stadium,,"Highworth, Wiltshire",England,1000,,
10614,Glassworld Stadium,Bridge Road,"Impington, Cambridgeshire",England,3750,,
5236,Reachfields Stadium,Fort Road,"Hythe, Kent",England,3000,,
5237,New Manor Ground,Awsworth Road,"Ilkeston, Derbyshire",England,3500,52.9839996,-1.3000047
20873,The Westmoreland Flooring Stadium,Parkside Road,"Kendal, Cumbria",England,2400,,
5239,The Plain Ham Ground,Larkhall,"Bath, Somerset",England,1000,,
21321,F. Ball Community Stadium,Macclesfield Road,"Leek, Staffordshire",England,3600,,
5241,Greenfields Sports Ground,Greenfields Lane,"Market Drayton, Shropshire",England,1000,,
21967,Oakfield Stadium,Snowberry Lane,"Melksham, Wiltshire",England,1000,,
12460,Red Industries Lyme Valley Stadium,"Buckmaster Avenue, Clayton","Newcastle-under-Lyme, Staffordshire",England,4000,,
